Time	 FAIRTEN1	 FAIRTEN2	 FAIRTEN3	 ANCHTEN1	 ANCHTEN2	 ANCHTEN3	 
7.6	 73.1128	 45.6809	 45.6809	 73.1022	 45.671	 45.671	 
7.7	 73.1154	 45.6801	 45.6801	 73.1101	 45.6658	 45.6658	 
7.8	 73.1064	 45.6818	 45.6818	 73.0974	 45.6703	 45.6703	 
7.9	 73.0636	 45.7122	 45.7122	 73.0571	 45.699	 45.699	 
8	 73.0218	 45.75	 45.75	 73.0137	 45.738	 45.738	 
8.1	 73.0025	 45.7705	 45.7705	 72.9969	 45.7563	 45.7563	 
8.2	 73.0287	 45.7468	 45.7468	 73.0179	 45.7371	 45.7371	 
8.3	 73.0523	 45.7223	 45.7223	 73.0427	 45.7115	 45.7115	 
8.4	 73.0803	 45.7002	 45.7002	 73.0717	 45.6884	 45.6884	 
8.5	 73.1069	 45.6848	 45.6848	 73.098	 45.6735	 45.6735	 
8.6	 73.118	 45.6776	 45.6776	 73.1079	 45.6671	 45.6671	 
8.7	 73.1063	 45.6819	 45.6819	 73.0967	 45.671	 45.671	 
8.8	 73.0683	 45.7085	 45.7085	 73.0594	 45.6972	 45.6972	 
8.9	 73.0245	 45.7472	 45.7472	 73.0176	 45.7343	 45.7343	 
9	 73.0031	 45.7693	 45.7693	 72.9978	 45.755	 45.755	 
9.1	 73.026	 45.7489	 45.7489	 73.0175	 45.7373	 45.7373	 
9.2	 73.05	 45.7243	 45.7243	 73.0421	 45.7121	 45.7121	 
9.3	 73.0771	 45.7024	 45.7024	 73.0694	 45.6899	 45.6899	 
9.4	 73.1032	 45.687	 45.687	 73.0948	 45.6753	 45.6753	 
9.5	 73.1192	 45.6761	 45.6761	 73.1069	 45.6675	 45.6675	 
9.6	 73.1044	 45.6835	 45.6835	 73.0948	 45.6726	 45.6726	 
9.7	 73.0714	 45.706	 45.706	 73.0629	 45.6944	 45.6944	 
9.8	 73.0264	 45.7451	 45.7451	 73.0203	 45.7316	 45.7316	 
9.9	 73.0059	 45.7665	 45.7665	 72.9994	 45.753	 45.753	 
10	 73.0264	 45.7484	 45.7484	 73.0156	 45.7387	 45.7387	 
10.1	 73.0504	 45.7241	 45.7241	 73.0412	 45.713	 45.713	 
10.2	 73.0749	 45.7039	 45.7039	 73.0675	 45.6912	 45.6912	 
10.3	 73.1006	 45.6884	 45.6884	 73.0927	 45.6763	 45.6763	 
10.4	 73.1155	 45.6787	 45.6787	 73.1067	 45.6673	 45.6673	 
10.5	 73.1012	 45.6862	 45.6862	 73.0944	 45.6731	 45.6731	 
10.6	 73.0743	 45.7037	 45.7037	 73.0665	 45.6916	 45.6916	 
10.7	 73.0287	 45.7427	 45.7427	 73.0227	 45.7291	 45.7291	 
10.8	 73.0083	 45.7639	 45.7639	 73.0025	 45.7499	 45.7499	 
10.9	 73.0223	 45.7516	 45.7516	 73.0153	 45.7388	 45.7388	 
11	 73.0486	 45.7258	 45.7258	 73.041	 45.7134	 45.7134	 
11.1	 73.0712	 45.7067	 45.7067	 73.0658	 45.6923	 45.6923	 
11.2	 73.0977	 45.6901	 45.6901	 73.0907	 45.6772	 45.6772	 
11.3	 73.1137	 45.6797	 45.6797	 73.1037	 45.6693	 45.6693	 
